PlayerName,TeamID,PositionID
Petr Cech,1,1
Bernd Leno,1,1
Laurent Koscielny,1,2
Héctor Bellerín,1,2
Nacho Monreal,1,2
Rob Holding,1,2
Shkodran Mustafi,1,2
Sead Kolasinac,1,2
Konstantinos Mavropanos,1,2
Stephan Lichtsteiner,1,2
Sokratis Papastathopoulos,1,2
Mesut Özil,1,3
Aaron Ramsey,1,3
Alex Iwobi,1,3
Mohamed Elneny,1,3
Granit Xhaka,1,3
Henrikh Mkhitaryan,1,3
Reiss Nelson,1,4
Ainsley Maitland-Niles,1,3
Danny Welbeck,1,4
Alexandre Lacazette,1,4
Pierre-Emerick Aubameyang,1,4
Lucas Torreira,1,3
Matteo Guendouzi,1,3
Emiliano Martínez,1,1
Emile Smith-Rowe,1,3
Zech Medley,1,2
Edward Nketiah,1,4
Asmir Begovic,2,1
Artur Boruc,2,1
Simon Francis,2,2
Steve Cook,2,2
Charlie Daniels,2,2
Adam Smith,2,2
Tyrone Mings,2,2
Nathan Aké,2,2
Jack Simpson,2,2
Marc Pugh,2,3
Andrew Surman,2,3
Junior Stanislas,2,3
Dan Gosling,2,3
Jordon Ibe,2,3
Lewis Cook,2,3
Ryan Fraser,2,3
Emerson Hyndman,2,3
David Brooks,2,3
Callum Wilson,2,4
Lys Mousset,2,4
Joshua King,2,4
Jermain Defoe,2,4
Diego Rico,2,2
Jefferson Lerma,2,3
Mathew Ryan,3,1
Lewis Dunk,3,2
Shane Duffy,3,2
Bruno Saltor Grau,3,2
Gaëtan Bong,3,2
Markus Suttner,3,2
Ezequiel Schelotto,3,2
Leon Balogun,3,2
Anthony Knockaert,3,3
Dale Stephens,3,3
Beram Kayal,3,3
Solomon March,3,3
Pascal Groß,3,3
Davy Pröpper,3,3
José Heriberto Izquierdo Mena,3,4
Glenn Murray,3,4
Tomer Hemed,3,4
Sam Baldock,3,4
Jürgen Locadia,3,4
Florin Andone,3,4
David Button,3,1
Jason Steele,3,1
Bernardo Fernandes da Silva Junior,3,2
Yves Bissouma,3,3
Alireza Jahanbakhsh,3,4
Martín Montoya,3,2
Viktor Gyokeres,3,4
Ben White,3,2
Tom Heaton,4,1
Nick Pope,4,1
Matthew Lowton,4,2
Ben Mee,4,2
Stephen Ward,4,2
James Tarkowski,4,2
Kevin Long,4,2
Charlie Taylor,4,2
Phil Bardsley,4,2
Johann Berg Gudmundsson,4,3
Steven Defour,4,3
Jeff Hendrick,4,3
Robbie Brady,4,3
Ashley Westwood,4,3
Jonathan Walters,4,4
Jack Cork,4,3
Aaron Lennon,4,3
Sam Vokes,4,4
Ashley Barnes,4,4
Nahki Wells,4,4
Chris Wood,4,4
Anders Lindegaard,4,1
Joe Hart,4,1
Ben Gibson,4,2
Matej Vydra,4,4
Dwight McNeil,4,4
Harry Arter,5,3
Neil Etheridge,5,1
Alex Smithies,5,1
Sean Morrison,5,2
Sol Bamba,5,2
Bruno Ecuele Manga,5,2
Matthew Connolly,5,2
Joe Bennett,5,2
Lee Peltier,5,2
Ashley Darel Jazz Richards,5,2
Greg Halford,5,2
Joe Ralls,5,3
David Junior Hoilett,5,4
Nathaniel Mendez-Laing,5,4
Callum Paterson,5,2
Aron Gunnarsson,5,3
Anthony Pilkington,5,3
Loïc Damour,5,3
Danny Ward,5,4
Josh Murphy,5,3
Kenneth Zohore,5,4
Omar Bogle,5,4
Gary Madine,5,4
Bobby Reid,5,3
Greg Cunninghamm,5,2
Víctor Camarasa,5,3
Kadeem Harris,5,3
Brian Murphy,5,1
Thibaut Courtois,6,1
Willy Caballero,6,1
César Azpilicueta,6,2
Gary Cahill,6,2
Marcos Alonso,6,2
David Luiz Moreira Marinho,6,2
Victor Moses,6,3
Antonio Rüdiger,6,2
Andreas Christensen,6,2
Davide Zappacosta,6,2
Emerson Palmieri dos Santos,6,2
Eden Hazard,6,4
Cesc Fàbregas,6,3
Willian Borges Da Silva,6,3
Pedro Rodríguez Ledesma,6,4
N'Golo Kanté,6,3
Ross Barkley,6,3
Daniel Drinkwater,6,3
Tiemoué Bakayoko,6,3
Ethan Ampadu,6,2
Callum Hudson-Odoi,6,3
Ruben Loftus-Cheek,6,3
Olivier Giroud,6,4
Álvaro Morata,6,4
Jorge Luiz Frello Filho,6,3
Tammy Abraham,6,4
Kepa Arrizabalaga,6,1
Mateo Kovacic,6,3
Wayne Hennessey,7,1
Julian Speroni,7,1
Vicente Guaita,7,1
James Tomkins,7,2
Scott Dann,7,2
Martin Kelly,7,2
Jeffrey Schlupp,7,2
Patrick van Aanholt,7,2
Mamadou Sakho,7,2
Jairo Riedewald,7,2
Aaron Wan-Bissaka,7,2
Jason Puncheon,7,3
James McArthur,7,3
Bakary Sako,7,3
Andros Townsend,7,4
Luka Milivojevic,7,3
Wilfried Zaha,7,4
Christian Benteke,7,4
Alexander Sørloth,7,4
Cheikhou Kouyaté,7,3
Joel Ward,7,2
Jaroslaw Jach,7,2
Pape Souaré,7,2
Connor Wickham,7,4
Sullay Kaikai,7,3
Max Meyer,7,3
Jordan Ayew,7,4
Jordan Pickford,8,1
Maarten Stekelenburg,8,1
Leighton Baines,8,2
Seamus Coleman,8,2
Phil Jagielka,8,2
Ashley Williams,8,2
Mason Holgate,8,2
Jonjoe Kenny,8,2
Michael Keane,8,2
Cuco Martina,8,2
Theo Walcott,8,4
Yannick Bolasie,8,3
James McCarthy,8,3
Morgan Schneiderlin,8,3
Idrissa Gueye,8,3
Tom Davies,8,3
Ademola Lookman,8,4
Davy Klaassen,8,3
Gylfi Sigurdsson,8,3
Nikola Vlasic,8,3
Beni Baningime,8,3
Dominic Calvert-Lewin,8,4
Oumar Niasse,8,4
Cenk Tosun,8,4
Richarlison de Andrade,8,4
Kevin Mirallas,8,4
Sandro Ramírez,8,4
Lucas Digne,8,2
Yerry Mina,8,2
Bernard Anício Caldeira Duarte,8,3
André Filipe Tavares Gomes,8,3
Kurt Zouma,8,2
Kieran Dowell,8,3
Tyias Browning,8,2
Calum Chambers,9,2
Marcus Bettinelli,9,1
Tim Ream,9,2
Denis Odoi,9,2
Tom Cairney,9,3
Kevin McDonald,9,3
Ryan Sessegnon,9,3
Stefan Johansen,9,3
Floyd Ayité,9,4
Neeskens Kebano,9,3
Rui Pedro da Rocha Fonte,9,4
Aboubakar Kamara,9,4
Maxime Le Marchand,9,2
Jean Michael Seri,9,3
Cyrus Christie,9,2
Fabricio Agosto Ramírez,9,1
André Schürrle,9,4
Aleksandar Mitrovic,9,4
Alfie Mawson,9,2
Sergio Rico,9,1
Joe Bryan,9,2
Timothy Fosu-Mensah,9,2
André-Frank Zambo Anguissa,9,3
Luciano Vietto,9,4
Ibrahima Cissé,9,3
Zeze Steven Sessegnon,9,2
Ben Hamer,10,1
Jonas Lössl,10,1
Christopher Schindler,10,2
Chris Löwe,10,2
Tommy Smith,10,2
Mathias Jorgensen,10,2
Scott Malone,10,2
Florent Hadergjonaj,10,2
Terence Kongolo,10,2
Aaron Mooy,10,3
Rajiv van La Parra,10,3
Jonathan Hogg,10,3
Philip Billing,10,3
Tom Ince,10,4
Danny Williams,10,3
Abdelhamid Sabiri,10,3
Alex Pritchard,10,3
Ramadan Sobhi,10,3
Juninho Bacuna,10,3
Collin Quaner,10,4
Laurent Depoitre,10,4
Steve Mounie,10,4
Elias Kachunga,10,4
Erik Durm,10,2
Adama Diakhaby,10,4
Isaac Mbenza,10,3
Jon Gorenc Stankovic,10,2
Ryan Schofield,10,1
Kasper Schmeichel,11,1
Eldin Jakupovic,11,1
Wes Morgan,11,2
Christian Fuchs,11,2
Danny Simpson,11,2
Yohan Benalouane,11,2
Benjamin Chilwell,11,2
Harry Maguire,11,2
Ricardo Domingos Barbosa Pereira,11,2
Jonny Evans,11,2
Marc Albrighton,11,3
Demarai Gray,11,3
Daniel Amartey,11,3
Wilfred Ndidi,11,3
Vicente Iborra,11,3
Matty James,11,3
Hamza Choudhury,11,3
Adrien Sebastian Perruchet Silva,11,3
Fousseni Diabaté,11,4
James Maddison,11,3
